,name,lat,temp,Humidity,Cloudiness,Wind_Speed
0,Corrente,-17.45,34.79,28,7,3.23
1,Gat,14.69,35.0,34,8,5.7
2,Hofn,64.25,1.81,75,100,7.42
3,Atuona,-9.8,26.33,79,3,6.97
4,Ushuaia,-54.81,2.69,100,90,10.3
5,Tuktoyaktuk,69.44,-6.0,85,75,5.7
6,Ponta do Sol,-20.63,29.73,52,36,2.47
7,Makakilo City,21.35,24.02,83,1,2.1
8,Saskylakh,71.97,-26.29,97,0,3.15
9,Rikitea,-23.12,23.89,87,53,1.44
10,Viransehir,37.24,20.28,39,0,2.5
11,Zelenoborskiy,66.84,-8.33,85,46,3.34
12,Punta Arenas,-53.16,5.36,80,40,14.9
13,Esperance,-33.86,10.0,87,40,3.6
14,Lompoc,34.64,10.83,93,90,2.31
15,Yellowknife,62.45,-13.05,84,75,2.1
16,Ranong,9.96,27.58,79,98,3.28
17,Oranjemund,-28.55,18.75,61,0,7.75
18,Fortuna,40.6,7.78,100,90,0.7
19,Bethel,60.79,-0.63,91,90,6.2
20,Kapaa,22.08,24.52,88,20,4.1
21,Adrar,27.87,29.0,18,0,9.8
22,Cabedelo,-6.97,30.0,55,40,5.7
23,Hilo,19.71,19.36,69,1,3.1
24,Tiksi,71.64,-22.54,96,90,1.46
25,Albany,42.65,6.07,42,40,5.1
26,Caravelas,-17.73,32.51,45,0,4.82
27,Barrow,-38.31,27.04,29,0,8.0
28,Aklavik,68.22,-11.63,71,75,2.1
29,Luganville,-15.51,22.1,93,86,0.56
30,Ayan,38.23,3.39,40,0,0.65
31,Dikson,73.51,-22.33,88,0,5.66
32,Santa Cruz,-6.22,33.08,37,17,5.37
33,Mitu,36.2,8.28,34,0,0.11
34,Castro,-42.48,11.0,87,75,7.2
35,Puerto Ayora,-0.74,21.86,73,75,6.2
36,Agogo,6.8,32.46,52,21,1.21
37,Carnarvon,-30.97,25.01,18,24,10.49
38,Shestakovo,56.49,-1.38,88,100,6.06
39,Ancud,-41.87,11.0,87,75,7.2
40,Bluff,-23.58,17.89,74,40,2.7
41,Adamovka,51.52,0.72,44,100,5.72
42,Tongliao,43.61,-1.66,41,0,3.94
43,Arlit,18.74,36.11,8,0,2.7
44,Marrakesh,31.63,22.0,28,20,4.6
45,Zhigansk,66.77,-28.3,98,58,0.21
46,Vardo,39.62,8.92,57,1,4.6
47,Piacabucu,-10.41,28.45,60,14,5.64
48,Butaritari,3.07,29.07,71,100,3.79
49,Hasaki,35.73,7.78,76,20,2.1
50,Ahipara,-35.17,14.44,100,27,3.81
51,Vaini,15.34,20.86,98,100,1.44
52,Panzhihua,26.59,12.72,80,0,0.58
53,Katsuura,33.93,11.0,87,20,4.6
54,Chokurdakh,70.62,-16.97,96,100,2.01
55,Mar del Plata,-46.43,17.6,24,100,15.96
56,Mercedes,-33.25,25.56,58,92,0.89
57,Thompson,55.74,-15.0,77,90,3.6
58,Hithadhoo,-0.6,28.23,69,98,2.53
59,Ust-Kuyga,70.0,-21.09,98,100,0.36
60,Codrington,-28.95,14.3,81,0,1.48
61,Guerrero Negro,27.97,18.04,83,0,3.31
62,Jamestown,-33.21,10.18,79,36,8.32
63,Bredasdorp,-34.53,18.56,43,20,18.0
64,Husavik,50.56,-9.7,73,19,3.13
65,Mayumba,-3.44,27.22,75,7,3.93
66,Srednekolymsk,67.46,-8.41,95,100,0.65
67,Yerbogachen,61.28,-10.2,94,100,4.01
68,Burgersdorp,-30.99,20.64,47,100,3.6
69,New Norfolk,-42.78,6.88,97,75,5.7
70,Busselton,-33.64,11.99,50,99,6.46
71,Saint-Philippe,45.36,3.08,40,90,3.6
72,Torbay,47.66,6.86,93,90,12.3
73,Sobolevo,54.43,8.44,94,100,4.18
74,Tiarei,-17.53,22.88,73,12,1.0
75,Mataura,-46.19,11.11,89,100,0.75
76,Nemuro,43.32,5.75,63,0,5.5
77,Hobart,-42.88,6.88,67,75,5.7
78,Middle Island,40.88,9.79,43,1,6.2
79,Kaitangata,-46.28,10.56,96,100,0.89
80,Rawson,-43.3,15.93,46,100,9.85
